2000,115,10236
1999,115,10236
1998,115,10236
1997,115,10236
1996,115,10236
1995,115,10236
1994,115,10236
1993,115,10236
1992,115,10236
1991,115,10236
1990,115,10236
2021,115,10176
2020,115,10176
2019,115,10176
2018,115,10176
2017,115,10176
2016,115,10176
2015,115,10176
2014,115,10176
2013,115,10176
2012,115,10176
2011,115,10176
2010,115,10176
2009,115,10176
2008,115,10176
2007,115,10176
2006,115,10176
2005,115,10176
2004,115,10176
2003,115,10176
2002,115,10176
2001,115,10176
2000,115,10176
1999,115,10176
1998,115,10176
1997,115,10176
1996,115,10176
1995,115,10176
1994,115,10176
1993,115,10176
1992,115,10176
1991,115,10176
1990,115,10176
2021,115,10184
2020,115,10184
2019,115,10184
2018,115,10184
2017,115,10184
2016,115,10184
2015,115,10184
2014,115,10184
2013,115,10184
2012,115,10184
2011,115,10184
2010,115,10184
2009,115,10184
2008,115,10184
2007,115,10184
2006,115,10184
2005,115,10184
2004,115,10184
2003,115,10184
2002,115,10184
2001,115,10184
2000,115,10184
1999,115,10184
1998,115,10184
1997,115,10184
1996,115,10184
1995,115,10184
1994,115,10184
1993,115,10184
1992,115,10184
1991,115,10184
1990,115,10184
2021,115,10185
2020,115,10185
2019,115,10185
2018,115,10185
2017,115,10185
2016,115,10185
2015,115,10185
2014,115,10185
2013,115,10185
2012,115,10185
2011,115,10185
2010,115,10185
2009,115,10185
2008,115,10185
2007,115,10185
2006,115,10185
2005,115,10185
2004,115,10185
2003,115,10185
2002,115,10185
2001,115,10185
2000,115,10185
1999,115,10185
1998,115,10185
1997,115,10185
1996,115,10185
1995,115,10185
1994,115,10185
1993,115,10185
1992,115,10185
1991,115,10185
1990,115,10185
2021,115,10186
2020,115,10186
2019,115,10186
2018,115,10186
2017,115,10186
2016,115,10186
2015,115,10186
2014,115,10186
2013,115,10186
2012,115,10186
2011,115,10186
2010,115,10186
2009,115,10186
2008,115,10186
2007,115,10186
2006,115,10186
2005,115,10186
2004,115,10186
2003,115,10186
2002,115,10186
2001,115,10186
2000,115,10186
1999,115,10186
1998,115,10186
1997,115,10186
1996,115,10186
1995,115,10186
1994,115,10186
1993,115,10186
1992,115,10186
1991,115,10186
1990,115,10186
2021,115,10259
2020,115,10259
2019,115,10259
2018,115,10259
2017,115,10259
2016,115,10259
2015,115,10259
2014,115,10259
2013,115,10259
2012,115,10259
2011,115,10259
2010,115,10259
2009,115,10259
2008,115,10259
2007,115,10259
